animal_id,animal,timestamp,x,y,oxygen_sat,heart_rate,temperature,air_quality
aa7514,Zebra,58.19,-313.9283,346.5674,0.96,200,None,None
aa7514,Zebra,59.2,-311.7686,340.9649,0.96,200,None,None
aa7514,Zebra,60.21,-309.573,335.2694,0.96,200,None,None
aa7514,Zebra,61.21,-307.4133,329.6671,0.96,200,None,None
aa7514,Zebra,62.21,-305.2537,324.0649,0.96,200,None,None
aa7514,Zebra,63.25,-303.022,318.2758,0.96,200,None,None
aa7514,Zebra,64.25,-300.8623,312.6735,0.96,200,None,None
aa7514,Zebra,65.25,-298.7026,307.0711,0.96,200,None,None
aa7514,Zebra,66.25,-296.5429,301.4687,0.96,200,None,None
aa7514,Zebra,67.25,-294.3833,295.8664,0.96,200,None,None
aa7514,Zebra,68.29,-292.1516,290.0773,0.96,200,None,None
aa7514,Zebra,69.32,-289.92,284.2883,0.96,200,None,None
aa7514,Zebra,70.32,-287.7602,278.6858,0.96,200,None,None
aa7514,Zebra,71.35,-285.5286,272.8969,0.96,200,None,None
aa7514,Zebra,72.39,-283.2969,267.1077,0.96,200,None,None
aa7514,Zebra,73.42,-281.0653,261.3188,0.96,200,None,None
aa7514,Zebra,74.42,-278.9057,255.7165,0.96,200,None,None
aa7514,Zebra,75.42,-276.7459,250.1139,0.96,200,None,None
aa7514,Zebra,76.46,-274.5143,244.3249,0.96,200,None,None
aa7514,Zebra,77.49,-272.2826,238.5359,0.96,200,None,None
aa7514,Zebra,78.51,-270.087,232.8403,0.96,200,None,None
aa7514,Zebra,79.53,-267.8919,227.8422,0.96,200,None,None
aa7514,Zebra,80.53,-265.7882,227.8332,0.96,200,None,None
aa7514,Zebra,81.54,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,82.56,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,83.58,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,84.6,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,85.6,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,86.6,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,87.6,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,88.62,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,89.63,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,90.67,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,91.67,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,92.67,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,93.69,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,94.7,-264.9983,227.7918,0.96,200,None,None
aa7514,Zebra,95.72,-264.9983,227.7918,0.96,200,92.83031,None
aa7514,Zebra,96.74,-264.9983,227.7918,0.96,200,92.82958,30.28296
aa7514,Zebra,97.76,-264.9983,227.7918,0.96,200,92.82886,30.28289
aa7514,Zebra,98.76,-264.9983,227.7918,0.96,200,92.82813,30.28281
aa7514,Zebra,99.76,-264.9983,227.7918,0.96,200,92.82745,30.28275
aa7514,Zebra,100.76,-264.9983,227.7918,0.96,200,92.82676,30.28268
aa7514,Zebra,101.76,-264.9983,227.7918,0.96,200,92.82606,30.28261
aa7514,Zebra,102.78,-264.9983,227.7918,0.96,200,92.82538,30.28254
aa7514,Zebra,103.78,-264.9983,227.7918,0.96,200,92.82469,30.28247
aa7514,Zebra,104.89,-264.9983,227.7918,0.96,200,92.82396,30.2824
